,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
45,Virginia Tech,ACC,15-5,16.26,110.5,54,94.3,48,66,296,0.087,35,7.82,82,107.1,67,99.3,100,-0.24,200
46,Memphis,Amer,13-6,15.97,102.8,164,86.9,2,72.1,36,-0.078,322,4.56,114,103.5,146,99,97,-0.02,193
47,Missouri,SEC,14-7,15.79,111.6,42,95.8,64,68.9,163,0.1,26,13.57,19,108.8,37,95.3,14,8.58,62
48,VCU,A10,17-6,15.71,105.8,122,90.1,13,69.7,115,0.035,100,6.88,89,105.7,94,98.8,90,3.81,130
49,SMU,Amer,11-4,15.69,111.3,45,95.6,62,68.7,167,0.056,64,7.11,87,104,132,96.9,43,-9.24,307
50,Saint Louis,A10,12-5,15.65,110.4,58,94.7,53,68.4,188,-0.031,245,2.8,131,103.8,135,101,130,-3.19,242
51,Kentucky,SEC,8-14,15.64,107.7,94,92,25,68,200,-0.125,346,16.51,6,111.2,9,94.7,6,15.13,15
52,Toledo,MAC,19-6,15.59,116.2,13,100.6,138,68.9,161,-0.001,181,2.34,138,104.4,119,102.1,149,5.56,99
53,Drake,MVC,24-3,15.35,113.7,19,98.3,100,67.1,258,0.097,28,-0.19,165,102.3,182,102.4,158,-10.56,311
54,Boise St.,MWC,18-6,15.33,109.8,64,94.4,50,69.4,132,0.013,140,3.44,123,104.3,124,100.8,125,13.73,22
55,Richmond,A10,13-6,15.28,113.4,24,98.1,98,68.5,179,-0.004,189,8.83,75,106.8,73,98,69,9.57,52
56,Utah St.,MWC,15-7,15.24,107.3,99,92,24,69.6,117,-0.054,287,2.97,127,103.4,150,100.5,120,6.21,91
57,Xavier,BE,13-5,15.21,111.6,44,96.3,71,69.1,144,0.074,52,9.05,68,108,47,98.9,95,2,162
58,Minnesota,B10,13-12,14.85,111.3,46,96.4,73,69.9,109,0.028,112,16.02,7,111.2,8,95.2,11,-1.29,213
59,Michigan St.,B10,13-9,14.77,108.2,86,93.4,39,69.1,147,0.105,20,15.53,13,112,5,96.4,30,-0.8,206
60,Mississippi,SEC,13-10,14.72,106.4,113,91.7,23,65.6,311,-0.062,300,9.27,66,107.3,62,98,70,-7.83,299
61,Wright St.,Horz,18-5,14.54,109.7,65,95.2,57,71.1,64,-0.058,296,-3.46,220,102.8,167,106.3,321,5.9,95
62,Syracuse,ACC,13-8,14.46,112.6,28,98.1,97,69.6,118,0.016,134,9.52,64,107.8,52,98.3,81,0.39,191
63,Notre Dame,ACC,9-13,13.39,115.5,16,102.1,170,67.1,259,-0.085,325,13.83,18,110.7,13,96.8,40,13.7,23
64,North Texas,CUSA,13-7,13.35,106.7,110,93.3,36,64.3,341,-0.067,306,3.4,124,104,133,100.6,123,4.99,108
65,Auburn,SEC,12-13,13.33,111.8,40,98.4,101,72,40,-0.053,285,12.55,31,108.4,42,95.9,22,3.88,125
66,Mississippi St.,SEC,13-12,13.11,106.4,112,93.3,37,66,299,-0.076,318,9.6,62,106.5,79,96.9,42,-2.52,231
67,Colorado St.,MWC,15-4,13.09,107.4,95,94.3,49,70.2,95,0.075,50,2.38,137,103.8,139,101.4,135,-0.08,195
68,Davidson,A10,12-7,13.01,113,26,99.9,126,62.9,351,-0.073,313,4.82,112,104.5,115,99.7,110,0.01,192
