,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
186,Valparaiso,MVC,10-17,-2.02,97.5,265,99.5,122,67.3,248,-0.024,233,5.02,109,105.3,104,100.3,118,4.85,112
187,Wyoming,MWC,12-9,-2.08,108.3,82,110.4,324,69.7,113,0.081,38,-1.45,184,100.7,224,102.1,152,-14.76,323
188,La Salle,A10,9-15,-2.13,103.1,156,105.3,240,69,154,-0.001,179,6.86,90,104.5,116,97.7,61,4.95,111
189,Monmouth,MAAC,10-7,-2.6,101.9,186,104.5,219,75.5,2,0.003,160,-5.87,276,96.6,330,102.5,159,-3.11,241
190,Montana,BSky,11-12,-2.63,99.1,240,101.7,161,65.8,304,-0.043,265,-0.5,167,103.3,156,103.8,211,15.01,16
191,Saint Joseph's,A10,3-14,-2.68,102.5,172,105.2,239,72.6,25,-0.02,224,10.54,54,107.7,56,97.1,48,14.61,18
192,Rice,CUSA,12-12,-2.75,104.9,134,107.7,288,70.1,98,0.017,132,0.29,163,101.3,211,101,129,-12.69,316
193,Florida Atlantic,CUSA,10-9,-2.79,101.2,204,104,203,68.3,191,-0.115,342,-2.68,206,101.9,191,104.6,242,-1.62,219
194,San Diego,WCC,3-10,-2.83,99.1,239,101.9,165,70.7,78,-0.025,236,7.66,84,106,89,98.3,82,5.83,96
195,Illinois St.,MVC,7-17,-2.87,99.8,225,102.6,182,69.2,135,-0.103,336,4.24,115,105.1,109,100.9,126,0.84,179
196,Iona,MAAC,8-5,-2.99,101.8,190,104.8,223,68.6,170,-0.005,194,-7.79,314,97.7,317,105.5,291,-1.89,225
197,Evansville,MVC,9-15,-3.06,107.4,96,110.4,325,62.6,354,0.016,135,2.7,132,103,164,100.3,119,-5.1,266
198,Nicholls St.,Slnd,15-6,-3.1,100.9,210,104,202,71.6,47,0.088,34,-8.61,324,98.1,309,106.7,329,4.7,114
199,Army,Pat,10-8,-3.13,97.9,255,101.1,150,69.1,148,0.06,62,-0.78,172,103.7,141,104.5,237,2.57,150
200,Southern Illinois,MVC,11-13,-3.15,99.5,232,102.6,183,66.4,281,0.069,53,2.65,133,103.8,138,101.1,131,-6.13,279
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
201,Hawaii,BW,10-8,-3.17,101.2,203,104.4,217,67.5,229,-0.023,232,-3.13,214,100.4,237,103.5,192,-99,330
202,Fresno St.,MWC,10-10,-3.25,99.9,223,103.2,189,65.8,303,0.059,63,2.16,140,103.6,144,101.4,137,-99,330
203,Penn,Ivy,0-0,-3.27,101.3,201,104.5,220,69.4,130,0,168,-99,348,0,348,200,348,-99,330
204,Cornell,Ivy,0-0,-3.33,102.4,174,105.8,253,67.1,256,0,168,-99,348,0,348,200,348,-99,330
205,Louisiana,SB,16-8,-3.48,100.7,213,104.2,207,71.3,57,0.107,19,-5.29,264,99.5,264,104.8,252,-3.52,249
206,Saint Peter's,MAAC,12-9,-3.53,90.6,340,94.2,46,67.5,234,0.008,150,-6.37,290,98.8,283,105.2,272,3.08,142
207,Oakland,Horz,10-17,-3.92,105.5,126,109.4,312,69.9,107,0.033,105,2.8,130,105.6,96,102.8,172,19.81,7
208,Wagner,NEC,11-6,-4.28,101.1,207,105.4,247,65.3,320,0.067,55,-8.83,327,98.8,284,107.6,340,19.9,6
209,Austin Peay,OVC,14-12,-4.32,104.6,138,108.9,300,67.3,243,-0.057,291,-6.8,297,98.1,307,104.9,260,-3.91,253
210,George Washington,A10,4-11,-4.34,103.3,151,107.7,287,68.5,177,-0.127,347,0.35,162,100.5,233,100.2,116,-7.36,294
211,South Alabama,SB,16-10,-4.35,102.5,171,106.9,274,67,263,0.041,90,-4.49,242,99.5,263,104,222,-2.91,236
212,Delaware,CAA,7-7,-4.6,97.5,263,102.1,173,66.6,274,-0.057,292,-5.27,263,101.3,208,106.6,328,-3.23,243
213,UNC Asheville,BSth,10-9,-4.69,101.9,187,106.5,270,68.5,180,-0.007,199,-6.17,282,99.3,268,105.5,289,-4.86,264
214,Hartford,AE,12-8,-4.78,96.1,283,100.9,144,66.8,267,0.055,66,-8.15,320,97.4,324,105.6,293,-3.31,245
215,Milwaukee,Horz,9-11,-4.91,101.7,191,106.7,272,70,105,-0.022,230,-3.87,228,101.4,207,105.2,276,-1.79,222
216,UNC Wilmington,CAA,7-9,-4.96,104.1,143,109.1,304,69.2,142,-0.12,344,-4.91,255,100.1,242,105,263,-3.36,246
217,Loyola MD,Pat,4-9,-5.04,96,286,101.1,149,70.6,81,-0.268,357,-7.24,307,100.6,232,107.8,343,-99,330
218,UMKC,Sum,11-12,-5.14,95.4,295,100.5,135,62.8,352,-0.061,298,-1.96,194,103.1,160,105.1,271,10.51,44
219,Charleston,CAA,9-9,-5.23,101.5,196,106.7,273,63.9,346,-0.013,214,-3.46,219,100.7,226,104.1,229,1.79,167
220,Utah Valley,WAC,10-9,-5.28,100.3,218,105.6,251,70.6,84,-0.007,200,-4.06,233,101.4,206,105.5,285,8.82,59
221,Lipscomb,ASun,15-11,-5.4,102.3,175,107.7,286,66.2,291,0.03,111,-4.95,257,99.8,252,104.8,253,2.2,156
222,Campbell,BSth,15-9,-5.43,102.6,169,108,290,64.5,336,0.049,79,-7.81,315,97.9,314,105.7,298,-3.78,252
223,UC Davis,BW,8-6,-5.53,98.3,248,103.9,200,70.2,97,0.078,43,-5.61,269,99.1,277,104.7,250,-3.09,240
224,Radford,BSth,14-11,-5.54,98.5,245,104.1,206,63.7,347,0.019,127,-5.16,258,99.9,246,105.1,267,7.09,81
225,Montana St.,BSky,9-8,-5.59,99.3,235,104.9,228,68.5,182,0.036,99,-2.64,204,101.7,197,104.4,233,3.07,143
226,Youngstown St.,Horz,15-11,-5.62,103.2,154,108.8,298,68,205,0.05,72,-4.48,241,101.7,196,106.2,316,-11.09,313
227,Albany,AE,7-8,-5.77,97,269,102.8,186,69.8,112,-0.067,305,-5.75,273,98.5,294,104.2,230,-4.49,258
228,Brown,Ivy,0-0,-5.83,96.3,280,102.1,171,70,104,0,168,-99,348,0,348,200,348,-99,330
229,Charlotte,CUSA,9-12,-5.86,97.7,259,103.5,197,62.4,355,0,167,-2.55,202,100.6,229,103.2,182,-5.52,272
230,Portland St.,BSky,9-10,-5.86,95.3,297,101.1,152,70.2,93,-0.136,350,-5.86,275,98.7,285,104.6,245,3.61,132
231,Little Rock,SB,11-14,-5.87,99.1,238,105,234,67.5,235,-0.036,255,-4.03,232,99.2,272,103.2,184,1.84,166
232,UT Rio Grande Valley,WAC,9-6,-5.95,95.9,291,101.8,164,70,102,-0.039,258,-6.12,281,98.6,286,104.7,251,-3,238
233,Stony Brook,AE,9-14,-5.96,95.5,294,101.4,156,66.7,271,-0.09,328,-4.33,238,99.4,265,103.7,208,0.99,177
234,Western Carolina,SC,11-15,-6,100,221,106,258,70.7,73,0.035,101,0.69,159,103.8,136,103.1,181,-4.33,255
235,Appalachian St.,SB,13-11,-6.03,100.1,220,106.1,261,65.4,318,-0.005,193,-4.57,248,99.3,269,103.9,212,4.99,110
236,Norfolk St.,MEAC,13-7,-6.07,99.8,224,105.8,255,67.6,222,0.034,103,-10.07,341,96.3,335,106.4,322,-1.57,217
237,UMass Lowell,AE,9-11,-6.15,99.7,229,105.9,256,69.6,120,0.031,109,-3.37,218,99.9,249,103.3,185,11.32,37
238,Elon,CAA,7-8,-6.21,96.9,272,103.2,188,67.4,241,0.012,141,-2.87,207,101,217,103.9,215,-6.3,282
239,Canisius,MAAC,6-4,-6.25,99.5,233,105.7,252,70.6,86,0.1,27,-7.05,302,94.5,343,101.5,140,-99,330
240,Prairie View A&M,SWAC,11-4,-6.26,94.4,304,100.6,140,69,155,0.093,31,-13.7,344,94,344,107.7,341,6.16,94
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
241,The Citadel,SC,12-11,-6.46,102.8,165,109.3,308,74.3,8,0.076,47,0.95,154,103.8,140,102.8,173,-11.97,315
242,Niagara,MAAC,8-10,-6.52,100.4,217,106.9,276,64.4,340,-0.048,279,-6.26,286,96.5,333,102.8,171,7.78,75
243,Mount St. Mary's,NEC,10-10,-6.52,95.1,299,101.6,158,61.9,356,-0.025,235,-8.34,322,98.4,296,106.8,330,9.99,49
244,UC San Diego,BW,5-10,-6.53,99.7,227,106.3,264,70.6,85,-0.037,256,5.77,103,104,131,98.3,79,5.77,97
245,UT Arlington,SB,13-12,-6.66,98.2,251,104.9,225,69.1,146,0.064,58,-3.51,221,99.8,254,103.3,187,11.38,36
246,Lafayette,Pat,8-5,-6.67,103.7,148,110.4,323,68,208,0.055,65,-9.08,330,96.4,334,105.5,288,-99,330
247,Green Bay,Horz,8-17,-6.77,103.2,153,110,317,66.3,289,-0.042,264,-1.54,187,103.1,162,104.6,246,12.87,26
248,Cal Baptist,WAC,12-8,-6.8,103.6,149,110.4,326,70.9,70,-0.015,216,-7.78,313,98.4,297,106.2,315,-11.19,314
249,Texas Southern,SWAC,10-8,-6.98,98.4,246,105.4,246,72,39,0.011,144,-8.08,318,95.9,336,104,223,11.83,32
250,Stetson,ASun,10-13,-7.01,101.3,202,108.3,296,69,156,-0.033,251,-5.23,261,99.9,250,105.1,270,6.99,83
251,Morgan St.,MEAC,11-6,-7.23,99.7,228,107,277,71.6,49,-0.03,244,-9.5,336,95.8,339,105.3,279,-1.71,221
252,Longwood,BSth,11-15,-7.27,97.6,260,104.9,229,65.6,314,-0.033,250,-6.65,295,99.2,270,105.9,308,0.67,184
253,Seattle,WAC,10-9,-7.37,97.6,262,104.9,231,69,159,-0.078,321,-5.8,274,99.8,253,105.6,294,-5.47,270
254,Arkansas St.,SB,10-12,-7.61,100.9,211,108.5,297,68.1,198,-0.047,275,-4.81,253,98.5,292,103.3,189,6.89,86
255,American,Pat,3-5,-7.73,96.6,275,104.3,214,67.5,230,0.103,22,-1.21,179,100.6,230,101.8,145,-99,330
256,Southern Miss,CUSA,8-16,-7.76,94.3,306,102.1,169,67.7,221,-0.075,316,-0.75,170,101,218,101.7,143,-7.45,297
257,Northern Colorado,BSky,10-9,-7.86,97.1,267,104.9,232,67.6,228,0.018,129,-6.21,283,98.9,282,105.1,269,11.7,34
258,Bucknell,Pat,4-5,-7.9,97,270,104.9,227,72.4,33,-0.068,308,-9.28,333,98.6,288,107.9,345,-99,330
259,Samford,SC,6-12,-7.94,97.6,261,105.6,250,72.8,22,-0.043,267,1.01,152,103.4,153,102.4,157,-4.56,259
260,Cal St. Fullerton,BW,6-7,-7.96,98.2,252,106.2,262,72.8,20,0.01,146,-1.73,191,102.1,186,103.9,214,-99,330
261,IUPUI,Horz,8-10,-7.98,97,268,105,235,72.6,30,0.076,49,-3.04,209,101.8,192,104.8,259,-16.69,325
262,Eastern Michigan,MAC,5-11,-8,98.1,254,106.1,260,68.6,175,-0.095,329,5.9,99,107.9,51,102,148,18.03,10
263,New Hampshire,AE,10-8,-8.23,96.6,276,104.8,224,67.1,253,0.069,54,-7.45,311,96.6,332,104,225,-4.84,263
264,Quinnipiac,MAAC,8-9,-8.42,92.1,327,100.5,134,71.9,41,-0.048,278,-9.08,329,98.2,301,107.3,337,-6.12,278
265,Boston University,Pat,6-9,-8.55,102.1,181,110.7,333,66.5,275,0.036,98,-3.64,225,101.6,200,105.2,275,-99,330
266,Dartmouth,Ivy,0-0,-8.83,95.9,290,104.7,222,66.8,266,0,168,-99,348,0,348,200,348,-99,330
267,Sacramento St.,BSky,7-10,-8.85,99.3,236,108.1,293,64.9,330,-0.032,249,-2.23,197,102.5,175,104.7,249,2.04,160
268,Marist,MAAC,10-8,-9.01,92,328,101.1,145,66,297,0.103,21,-7.2,305,97.8,315,105,265,-14.52,321
269,Western Michigan,MAC,4-15,-9.13,95.3,296,104.4,218,66.3,284,-0.028,238,5.82,101,107.5,61,101.6,142,4.36,117
270,LIU,NEC,9-9,-9.22,94.1,307,103.3,193,74.1,10,-0.021,226,-9.93,338,97.9,313,107.8,344,-99,330
271,Southeast Missouri St.,OVC,11-15,-9.28,96.1,282,105.4,244,68.9,162,0.005,155,-5.89,277,99.5,262,105.4,281,-1.89,224
272,Columbia,Ivy,0-0,-9.39,95.7,292,105.1,237,69.2,137,0,168,-99,348,0,348,200,348,-99,330
273,Central Michigan,MAC,6-15,-9.43,100.6,216,110,320,72.5,32,-0.065,302,1.27,151,103.8,137,102.5,160,-7.04,290
274,Towson,CAA,4-13,-9.5,100.7,212,110.2,322,66.4,282,-0.029,241,-1.09,175,102.5,174,103.6,202,7.52,77
275,Long Beach St.,BW,5-9,-9.69,97.9,256,107.6,283,73.1,17,0.049,77,-3.6,224,100.3,239,103.9,217,1.86,165
276,Georgia Southern,SB,13-12,-9.73,94.7,301,104.4,215,67.3,245,0.049,78,-4.94,256,99.9,251,104.8,255,-2.96,237
277,Purdue Fort Wayne,Horz,8-14,-9.83,100.2,219,110,318,70.1,99,-0.011,211,-4.41,240,102.1,187,106.5,325,-19.3,326
278,Illinois Chicago,Horz,9-13,-9.89,94,310,103.9,201,68.6,176,0.05,75,-3.66,226,102.3,179,106,309,-2.04,226
279,Florida A&M,MEAC,6-10,-10.08,91,335,101.1,148,68.4,186,-0.008,201,-5.19,259,99.2,271,104.4,236,11.8,33
280,Cal St. Northridge,BW,9-10,-10.18,102.4,173,112.6,343,70.2,92,0.107,18,-2.65,205,100.6,231,103.3,186,-0.23,198
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
281,High Point,BSth,9-14,-10.23,96.8,273,107,278,66.3,285,-0.043,266,-6.93,300,99.1,279,106,310,-1.54,215
282,Middle Tennessee,CUSA,5-15,-10.25,93,324,103.2,190,69.6,122,-0.043,268,0.38,161,101.8,195,101.4,134,-0.58,203
283,Merrimack,NEC,9-7,-10.34,91.1,334,101.5,157,66.7,270,0.051,71,-10.91,342,97.7,319,108.6,347,-99,330
284,North Carolina A&T,MEAC,11-10,-10.39,96,285,106.4,266,71.2,63,0.078,44,-6.3,289,97.3,328,103.6,199,0.61,188
285,Jackson St.,SWAC,8-5,-10.4,89.4,346,99.8,125,69.7,114,0.126,11,-9.25,332,95.2,341,104.5,238,11.9,30
286,Florida Gulf Coast,ASun,9-7,-10.51,93.7,314,104.2,208,70.2,91,0.077,45,-7.88,317,98.3,299,106.2,314,-6.06,277
287,Robert Morris,Horz,4-15,-10.69,99,242,109.7,314,67.6,227,-0.053,286,-0.68,169,105,111,105.6,296,9.2,57
288,Idaho St.,BSky,12-9,-10.76,94.1,308,104.9,226,64.5,335,-0.002,186,-7.51,312,98,311,105.5,287,2.36,154
289,FIU,CUSA,9-15,-10.81,98.1,253,108.9,301,70.8,71,-0.098,332,-3.09,212,100.8,222,103.9,219,-8.73,302
290,Fordham,A10,2-11,-11.18,88.2,349,99.4,120,64.3,342,0.038,94,6.42,94,105.8,92,99.4,102,-99,330
291,NJIT,AE,7-12,-11.24,94.9,300,106.2,263,68.6,174,0.024,120,-5.41,266,98.1,305,103.5,194,-1.07,209
292,New Mexico,MWC,6-14,-11.26,91.2,333,102.4,177,67.1,252,-0.028,237,1.38,150,104.1,129,102.7,169,-6.46,286
293,Western Illinois,Sum,7-13,-11.29,98.8,243,110.1,321,71.6,46,-0.018,222,-4.21,237,101.9,190,106.2,313,-0.88,207
294,St. Francis NY,NEC,9-10,-11.31,101.7,193,113,348,72.9,19,0.03,110,-9.46,335,96.7,329,106.1,312,-6.67,287
295,Louisiana Monroe,SB,7-18,-11.31,93.3,319,104.6,221,67.4,239,-0.037,257,-4.88,254,99.2,273,104.1,228,-4.48,257
296,Fairleigh Dickinson,NEC,9-15,-11.33,101.4,199,112.8,344,71,67,0.017,133,-6.89,299,98.5,291,105.4,283,3.26,138
297,North Florida,ASun,8-14,-11.36,103,161,114.3,351,66.9,264,0.047,80,-2.92,208,100.6,227,103.6,197,3.03,144
298,North Dakota,Sum,9-16,-11.41,97.8,257,109.3,307,67.6,226,0.083,37,-2.25,199,102.6,173,104.8,256,4.03,123
299,Southern,SWAC,8-8,-11.45,92.8,325,104.2,210,71.3,56,-0.016,217,-15.61,346,92.1,346,107.7,342,15.33,13
300,Manhattan,MAAC,6-11,-11.49,90.3,344,101.8,163,67,262,0.005,153,-6.59,292,97.3,327,103.9,216,-21.04,329
301,New Orleans,Slnd,6-14,-11.66,96.4,278,108.1,292,72.5,31,-0.138,351,-7.21,306,99.4,267,106.6,327,0.7,182
302,Holy Cross,Pat,5-11,-11.84,97.2,266,109.1,303,69.1,143,-0.047,277,-3.97,230,101.8,194,105.7,299,-99,330
303,Jacksonville,ASun,11-13,-11.94,93.5,317,105.5,248,68,201,0.05,76,-6.53,291,99.7,257,106.2,317,-7.18,293
304,Coppin St.,MEAC,8-12,-12.02,90.5,342,102.5,178,77.6,1,0.086,36,-4.09,234,101.1,214,105.2,273,5.3,102
305,William & Mary,CAA,6-9,-12.02,96.9,271,109,302,68.3,189,0.11,17,-1.57,188,102.8,168,104.4,234,-0.62,204
306,St. Francis PA,NEC,6-16,-12.15,95.5,293,107.7,285,68.9,160,-0.066,303,-6.28,287,99.5,261,105.8,306,12.83,27
307,North Alabama,ASun,11-10,-12.19,93.1,322,105.3,242,70.7,74,0.052,70,-6.69,296,99.6,259,106.3,318,2.3,155
308,Howard,MEAC,1-4,-12.23,99.2,237,111.5,337,70,100,0.102,23,-1.62,189,103.2,159,104.8,258,-1.62,220
309,Eastern Illinois,OVC,9-18,-12.26,96,287,108.2,295,69.2,136,-0.004,191,-4.56,247,100.7,225,105.2,274,1.6,170
310,Troy,SB,10-16,-12.4,90.8,337,103.2,192,68,199,0.021,124,-2.24,198,101.3,209,103.5,196,1.93,164
311,Tarleton St.,WAC,8-10,-12.76,96.1,284,108.8,299,64.6,332,-0.062,299,-1.39,182,101.8,193,103.2,183,9.22,56
312,Tennessee Tech,OVC,5-22,-12.84,96.6,277,109.4,311,69.1,149,-0.055,289,-0.66,168,102.3,181,102.9,176,10.48,45
313,Sacred Heart,NEC,9-8,-12.84,99,241,111.9,339,67.5,237,0.125,12,-8.86,328,97.4,325,106.3,319,23.51,2
314,North Carolina Central,MEAC,4-7,-12.92,94,311,106.9,275,65.5,316,0.004,157,-6.22,284,97.6,320,103.9,213,11.61,35
315,Rider,MAAC,5-14,-13.03,99.7,226,112.8,346,69,152,-0.044,270,-4.69,251,97.4,326,102.1,150,7.97,68
316,Northwestern St.,Slnd,9-15,-13.33,96.4,279,109.7,315,71,68,0.076,48,-3.52,222,101.2,213,104.7,248,13.69,24
317,Grambling St.,SWAC,9-10,-13.47,91.6,330,105.1,236,70,103,0.041,89,-9.53,337,95.1,342,104.7,247,5.41,100
318,Nebraska Omaha,Sum,5-19,-13.6,93.6,315,107.2,280,71.3,54,-0.016,220,-1.2,178,102.7,170,103.9,220,7.9,70
319,Tennessee St.,OVC,4-19,-13.7,90.7,339,104.4,216,71.5,51,-0.103,335,-4.55,245,100.4,235,105,264,-3.4,247
320,SIU Edwardsville,OVC,9-16,-13.8,93.3,320,107.1,279,68.7,168,0.012,142,-4.03,231,100.5,234,104.5,239,2.06,159
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
321,USC Upstate,BSth,5-18,-14.25,95.1,298,109.3,309,68.6,171,-0.032,248,-3.8,227,100.1,241,103.9,218,6.31,90
322,Lamar,Slnd,6-17,-14.28,93,323,107.3,281,68.6,169,-0.031,247,-4.57,249,99.7,256,104.3,231,1.43,172
323,Binghamton,AE,4-14,-14.52,97.8,258,112.3,342,66.3,290,-0.095,330,-5.32,265,97.7,318,103,179,-9.03,305
324,Hampton,BSth,11-13,-14.56,96.1,281,110.7,332,70.7,75,0.12,15,-8.73,326,98.2,304,106.9,332,-4.61,260
325,San Jose St.,MWC,5-15,-14.67,96,288,110.7,331,72,38,0.002,162,5.13,107,103.3,157,98.2,78,-0.97,208
326,Air Force,MWC,5-18,-15.01,95.9,289,110.9,335,62.9,350,0.023,121,1.99,142,103.5,147,101.5,138,-5.45,268
327,Presbyterian,BSth,7-15,-15.02,90.9,336,105.9,257,66.1,295,-0.057,293,-8.09,319,98.5,295,106.5,326,-12.69,317
328,Lehigh,Pat,4-9,-15.2,94.4,305,109.6,313,70.5,88,0.101,25,-5.64,271,99.9,248,105.5,292,-99,330
329,Fairfield,MAAC,6-15,-15.53,93.6,316,109.1,305,65.1,326,-0.011,213,-6.1,280,97.5,323,103.6,204,-2.65,233
330,Portland,WCC,6-14,-15.86,94.6,302,110.5,327,71.5,50,0.067,56,6.12,97,105.6,95,99.5,104,-1.19,211
331,Northern Illinois,MAC,2-15,-16.04,94,312,110,316,65.3,319,-0.022,228,4.09,119,106.2,84,102.1,153,-5.65,274
332,Southeastern Louisiana,Slnd,7-15,-16.1,94.4,303,110.5,328,69,158,0.043,87,-5.47,267,100,245,105.4,284,3.45,134
333,Central Arkansas,Slnd,4-17,-16.14,96.7,274,112.9,347,71.9,42,-0.002,188,2.07,141,103.1,163,101,128,18.92,8
334,Dixie St.,WAC,8-11,-16.22,91.4,331,107.6,284,73.8,14,0.091,33,-5.63,270,99.9,247,105.5,290,-5.53,273
335,McNeese St.,Slnd,10-11,-16.24,98.2,249,114.5,352,69.5,129,-0.07,309,-9.98,339,97.5,322,107.5,339,4.58,115
336,Incarnate Word,Slnd,8-10,-16.85,93.8,313,110.6,330,64.4,338,-0.03,243,-8.65,325,98.2,300,106.9,331,4.99,109
337,Houston Baptist,Slnd,4-16,-17.08,94,309,111.1,336,72.8,23,-0.022,231,-1.27,180,102.2,183,103.5,190,10.27,48
338,Northern Arizona,BSky,5-15,-17.54,97.5,264,115.1,354,63.9,345,0.041,91,-1.51,185,102.2,184,103.7,207,10.61,41
339,Charleston Southern,BSth,3-18,-17.74,90.3,345,108,291,69.9,108,-0.049,282,-4.49,243,100.4,236,104.9,261,0.67,183
340,Kennesaw St.,ASun,5-18,-18.13,87.9,351,106,259,69.5,124,-0.088,327,-3.9,229,101.9,189,105.8,307,7.18,80
341,Central Connecticut,NEC,5-16,-18.53,93.2,321,111.8,338,70.7,76,0.003,158,-7.27,309,98.5,293,105.8,302,5.07,105
342,Maine,AE,2-7,-18.55,86.8,353,105.4,243,64.8,331,0.028,113,-1.66,190,100.3,240,101.9,147,8.42,64
343,Texas A&M Corpus Chris,Slnd,4-17,-18.67,90.6,341,109.2,306,69.5,127,-0.071,310,-4.16,236,99.4,266,103.5,195,4.11,121
344,Alcorn St.,SWAC,5-10,-18.74,91.9,329,110.6,329,69,157,-0.011,212,-10.02,340,95.3,340,105.3,278,20.03,4
345,Cal Poly,BW,3-17,-19.02,87.5,352,106.5,269,67.3,242,0.001,164,-1.53,186,101.5,203,103.1,180,-2.05,227
346,Alabama A&M,SWAC,6-6,-19.45,86.3,354,105.8,254,68.7,166,0.063,59,-14.75,345,92.6,345,107.3,336,-6.22,280
347,Denver,Sum,2-19,-19.72,93.5,318,113.2,349,71.4,52,-0.105,338,-6.24,285,100,243,106.3,320,-8.29,301
348,Tennessee Martin,OVC,8-16,-20.11,92.7,326,112.8,345,67.7,218,0.122,13,-3.6,223,101,219,104.6,241,-2.2,229
349,Bethune Cookman,MEAC,0-0,-20.66,91.2,332,111.9,340,72.6,27,0,168,-99,348,0,348,200,348,-99,330
350,Delaware St.,MEAC,2-14,-24.16,90.4,343,114.6,353,73.9,13,-0.108,339,-4.56,246,99.1,278,103.7,205,2.16,157
351,South Carolina St.,MEAC,1-16,-24.32,88,350,112.3,341,72.6,26,-0.1,333,-4.69,252,98.6,289,103.3,188,1.28,174
352,Alabama St.,SWAC,4-10,-24.36,85,355,109.4,310,70.6,80,-0.047,273,-18.08,347,90.3,347,108.4,346,-99,330
353,Arkansas Pine Bluff,SWAC,3-19,-24.37,90.7,338,115.1,355,67.6,223,-0.074,314,-3.28,216,98.2,302,101.5,139,14.71,17
354,Idaho,BSky,1-19,-25.04,89.1,347,114.1,350,67.3,244,-0.011,210,-2.57,203,102,188,104.6,243,10.48,46
355,Maryland Eastern Shore,MEAC,0-0,-25.73,85,356,110.7,334,68.1,197,0,168,-99,348,0,348,200,348,-99,330
356,Chicago St.,WAC,0-9,-28.46,89,348,117.5,356,67.8,213,-0.006,197,7.36,85,106.2,87,98.8,89,7.36,78
357,Mississippi Valley St.,SWAC,1-20,-42.3,79,357,121.3,357,71.4,53,0.018,130,-4.1,235,97.8,316,101.9,146,13.78,20
